"star_id","const_id"
12770,"western-Cet"
12777,"egyptian-006"
12777,"navajo-004"
12777,"romanian-Bar"
12803,"chinese-315"
12828,"arabic-015"
12828,"chinese-242"
12828,"egyptian-015"
12828,"korean-120"
12828,"romanian-Chi"
12828,"western-Cet"
12843,"arabic-025"
12843,"chinese-253"
12843,"korean-145"
12843,"western-Eri"
12876,"chinese-182"
13055,"chinese-267"
13061,"chinese-025"
13061,"indian-N02"
13061,"japanese_moon_stations-17"
13061,"korean-118"
13147,"korean-129"
13147,"western-For"
13165,"chinese-315"
13209,"arabic-005"
13209,"belarusian-013"
13209,"chinese-025"
13209,"indian-N02"
13209,"japanese_moon_stations-17"
13209,"korean-118"
13209,"romanian-Ber"
13209,"western-Ari"
13244,"chinese-076"
13254,"arabic-036"
13254,"chinese-062"
13254,"egyptian-006"
13254,"korean-116"
13254,"romanian-Bar"
13254,"sardinian-008"
13254,"western-Per"
13268,"arabic-036"
13268,"chinese-213"
13268,"egyptian-006"
13268,"korean-114"
13268,"navajo-002"
13268,"romanian-Bar"
13268,"sardinian-008"
13268,"western-Per"
13288,"chinese-253"
13288,"korean-145"
13327,"chinese-315"
13339,"tukano-005"
13531,"chinese-062"
13531,"korean-116"
13531,"romanian-Bar"
13665,"chinese-057"
13701,"arabic-025"
13701,"chinese-253"
13701,"korean-145"
13701,"western-Eri"
13702,"arabic_moon_stations-002"
13847,"arabic-025"
13847,"chinese-252"
13847,"korean-129"
13847,"western-Eri"
13879,"chinese-105"
13914,"arabic_moon_stations-002"
13914,"romanian-Ber"
13954,"arabic-015"
13954,"chinese-242"
13954,"korean-120"
13954,"romanian-Chi"
13954,"western-Cet"
13965,"tukano-005"
14135,"chinese-242"
14135,"egyptian-015"
14135,"korean-120"
14135,"romanian-Chi"
14135,"western-Cet"
14143,"arabic-015"
14146,"arabic-025"
14146,"chinese-253"
14146,"korean-145"
14146,"western-Eri"
14240,"western-Hor"
14328,"arabic-036"
14328,"chinese-213"
14328,"korean-114"
14328,"romanian-Bar"
14328,"sami-001"
14328,"sardinian-008"
14328,"tukano-005"
14328,"western-Per"
14354,"arabic-036"
14354,"chinese-062"
14354,"korean-116"
14354,"romanian-Bar"
14354,"sardinian-008"
14354,"western-Per"
14417,"chinese-267"
14544,"tukano-005"
14576,"arabic-036"
14576,"chinese-062"
14576,"egyptian-006"
14576,"korean-116"
14576,"macedonian-006"
14576,"romanian-Bar"
14576,"sami-001"
14576,"sardinian-008"
14576,"western-Per"
14632,"chinese-062"
14632,"korean-116"
14632,"romanian-Bar"
14668,"chinese-062"
14668,"egyptian-006"
14668,"korean-116"
14668,"romanian-Bar"
14838,"arabic_moon_stations-002"
14838,"chinese-249"
14838,"romanian-Ber"
14862,"chinese-080"
14879,"korean-129"
14879,"western-For"
15110,"chinese-249"
15110,"romanian-Ber"
15197,"arabic-025"
15197,"chinese-253"
15197,"korean-145"
15197,"western-Eri"
15219,"tukano-005"
15371,"boorong-Ktc"
15444,"tukano-005"
15457,"korean-120"
15474,"arabic-025"
15474,"chinese-253"
15474,"korean-145"
15474,"western-Eri"
15510,"arabic-025"
15510,"korean-129"
15510,"western-Eri"
15520,"chinese-032"
15547,"chinese-267"
15619,"chinese-242"
15696,"chinese-207"
15737,"chinese-249"
15863,"arabic-036"
15863,"chinese-213"
15863,"egyptian-006"
15863,"korean-114"
15863,"romanian-Bar"
15863,"sami-001"
15863,"sardinian-008"
15863,"tukano-005"
15863,"western-Per"
15900,"arabic-042"
15900,"chinese-238"
15900,"korean-119"
15900,"western-Tau"
15979,"tukano-005"
16083,"chinese-238"
16083,"korean-119"
16228,"chinese-057"
16228,"tukano-005"
16228,"western-Cam"
16244,"tukano-005"
16245,"boorong-Ktc"
16281,"chinese-057"
16281,"tukano-005"
16292,"chinese-057"
16292,"tukano-005"
16322,"chinese-238"
16322,"korean-119"
16335,"tukano-005"
16369,"chinese-238"
16369,"korean-119"
16537,"arabic-025"
16537,"chinese-253"
16537,"korean-145"
16537,"western-Eri"
16599,"tukano-005"
16602,"tukano-005"
16611,"arabic-025"
16611,"chinese-253"
16611,"korean-145"
16611,"western-Eri"
16826,"chinese-213"
16826,"korean-114"
16826,"tukano-005"
16852,"korean-120"
16870,"korean-129"
17271,"egyptian-006"
17313,"chinese-122"
17313,"korean-122"
17351,"chinese-252"
17351,"korean-129"
17358,"arabic-036"
17358,"chinese-213"
17358,"korean-114"
17358,"sami-001"
17358,"sardinian-008"
17358,"tukano-005"
17358,"western-Per"
17378,"arabic-025"
17378,"chinese-253"
17378,"korean-145"
17378,"western-Eri"
17440,"boorong-Ktc"
17440,"chinese-183"
17440,"western-Ret"
17448,"arabic-036"
17448,"chinese-122"
17448,"korean-122"
17448,"romanian-Bar"
17448,"sardinian-008"
17448,"western-Per"
17467,"egyptian-006"
17489,"arabic_moon_stations-003"
17489,"aztec-002"
17489,"belarusian-003"
17489,"boorong-Lnk"
17489,"hawaiian_starlines-MAK"
17489,"korean-124"
17489,"siberian-DNe"
17489,"tukano-006"
17499,"arabic_moon_stations-003"
17499,"aztec-002"
17499,"belarusian-003"
17499,"boorong-Lnk"
17499,"chinese-015"
17499,"dakota-010"
17499,"dakota-011"
17499,"egyptian-018"
17499,"hawaiian_starlines-MAK"
17499,"indian-N03"
17499,"inuit-008"
17499,"japanese_moon_stations-18"
17499,"korean-124"
17499,"macedonian-002"
17499,"maori-006"
17499,"navajo-005"
17499,"ojibwe-010"
17499,"romanian-Ccp"
17499,"sardinian-002"
17499,"siberian-DNe"
17499,"tukano-006"
17499,"tupi-006"
17529,"chinese-122"
17529,"korean-122"
17531,"aztec-002"
17531,"belarusian-003"
17531,"boorong-Lnk"
17531,"chinese-015"
17531,"dakota-010"
17531,"dakota-011"
17531,"egyptian-018"
17531,"indian-N03"
17531,"inuit-008"
17531,"japanese_moon_stations-18"
17531,"korean-124"
17531,"macedonian-002"
17531,"navajo-005"
17531,"ojibwe-010"
17531,"sardinian-002"
17531,"siberian-DNe"
17531,"tukano-006"
17531,"tupi-006"
17573,"belarusian-003"
17573,"chinese-015"
17573,"indian-N03"
17573,"korean-124"
17573,"macedonian-002"
17573,"romanian-Ccp"
17573,"sardinian-002"
17573,"tukano-006"
17573,"tupi-006"
17579,"arabic_moon_stations-003"
17579,"aztec-002"
17579,"boorong-Lnk"
17579,"chinese-015"
17579,"indian-N03"
17579,"siberian-DNe"
17579,"tukano-006"
17579,"tupi-006"
17593,"chinese-253"
17593,"korean-145"
17608,"arabic_moon_stations-003"
17608,"aztec-002"
17608,"belarusian-003"
17608,"boorong-Lnk"
17608,"chinese-015"
17608,"dakota-010"
17608,"dakota-011"
17608,"egyptian-018"
17608,"indian-N03"
17608,"inuit-008"
17608,"japanese_moon_stations-18"
17608,"korean-124"
